tank,body mass ,Total Length,SVL,Head Width,Mid Width,Tail Width,Tail Height,clutch,rack,ba,cond,impact,ud,switched,alternate
13,0.53,1.737,0.946,0.268,0.193,0.107,0.239,c,b,before,high,c,c,y,beforehigh
13,0.52,1.761,1.007,0.275,0.208,0.106,0.237,c,b,before,high,c,c,y,beforehigh
13,0.53,1.753,1.015,0.269,0.187,0.113,0.275,c,b,before,high,c,c,y,beforehigh
13,0.59,1.869,1.096,0.283,0.216,0.132,0.279,c,b,before,high,c,c,y,beforehigh
13,0.54,1.84,1.049,0.278,0.19,0.124,0.25,c,b,before,high,c,c,y,beforehigh
13,0.52,1.686,0.948,0.246,0.187,0.111,0.214,c,b,before,high,c,c,y,beforehigh
13,0.58,1.638,0.959,0.249,0.185,0.124,0.267,c,b,before,high,c,c,y,beforehigh
13,0.56,1.686,0.973,0.276,0.193,0.129,0.258,c,b,before,high,c,c,y,beforehigh
13,0.54,1.839,1.054,0.267,0.209,0.146,0.222,c,b,after,low,i,down,y,afterlow
13,0.59,1.724,0.943,0.27,0.212,0.135,0.222,c,b,after,low,i,down,y,afterlow
13,0.5,1.763,1.045,0.281,0.189,0.103,0.235,c,b,after,low,i,down,y,afterlow
13,0.58,1.625,1.001,0.275,0.195,0.125,0.231,c,b,after,low,i,down,y,afterlow
13,0.53,1.792,0.985,0.28,0.205,0.128,0.217,c,b,after,low,i,down,y,afterlow
